docId,filename,0 2 00 1,1 murray haldane hood,2 hie end ae,3 1888 nervous toronto,4 shawville pills 1892,5 1885 war indians,6 1 4 good,7 000 2 3,8 tho 0 stair,9 mr tho government,10 1887 du portage,11 ami hut lie,12 1884 sidney pembroke,13 christmas sugar milk,14 ef te 1886,15 fort portage du,16 1889 isabel martha,17 1 mr day,18 dolores inez varian,19 1 ii lie
471,83471_1892-07-14.txt,1.0240568199832731E-4,7.3612981140529886E-6,1.7140334710482185E-5,6.282722001807548E-6,0.091992036004021,0.0096433085221634,0.1974641670865547,0.26718778315710356,8.573472731413573E-5,0.1650912690915831,9.785392882460514E-4,1.5400103296389544E-5,7.469120636680505E-6,0.03031226293043283,6.197207081893373E-6,0.006344707141151264,8.599805068383737E-6,0.23030199006776342,4.829511563321195E-6,4.225161991951886E-4
472,83471_1892-07-21.txt,0.011886826836348788,0.009796526990118822,0.004590898726752057,0.0021835113028959782,0.07680672410875852,0.0016477575827003748,0.18988236866188082,0.2816188355942478,0.0016423237902405579,0.1259687479649674,0.0011524151667719016,0.001000181239219096,1.0456247991694342E-5,0.038520565438007026,0.0018571841984339717,0.017798482829068037,0.00294790563318343,0.22726290278729483,0.0019640053166042975,0.0014613795845146167
473,83471_1892-07-28.txt,0.004872250137765023,1.091159580162957E-5,2.540698683407196E-5,9.312830693115914E-6,0.09721385382550142,1.770435992400572E-5,0.18435942371529954,0.31580266946615493,1.19508812193688E-5,0.12267249227064035,7.596830009206085E-4,5.984926965842856E-4,2.4133751687848258E-4,0.01442137733154651,9.186072582432845E-6,0.043944625276948444,1.2747425172181149E-5,0.2125409945636309,7.158747992783393E-6,0.0024684212979099304
474,83471_1892-08-04.txt,0.004675367460869214,1.4148291488986293E-5,3.294343578338958E-5,1.2075286294430436E-5,0.11201752573634285,4.7081053219357046E-4,0.15529697407325227,0.3533477945913459,1.549585909483837E-5,0.15129789813733907,8.35742156769179E-4,2.959874019799133E-5,1.4355524568747004E-5,9.342790007341183E-4,1.1910928052873372E-5,0.058622008606318624,0.0010615226212628407,0.15421823408966157,1.585670888070189E-4,0.006932747839622511
475,83471_1892-08-11.txt,0.007488918378694306,1.0388897714628287E-5,2.4189916145598246E-5,8.866718238406812E-6,0.0708526888613206,5.649454220674415E-4,0.21959442368373913,0.2254769447767309,1.1378398251257874E-5,0.14474865969970546,9.42527573745093E-4,2.1733951738141663E-5,1.0541066142201141E-5,0.040148447428490296,8.746032220492798E-6,0.01596973817467884,2.3137244694791776E-4,0.27284391018829385,6.8158225445558E-6,0.0010347625625909
476,83471_1892-08-18.txt,3.5536953253636915E-5,4.569752274512953E-4,0.010626591799886764,9.027020874788675E-6,0.09199837809025815,0.017761501684287986,0.18316543699373602,0.2879199787698548,1.1584109901096785E-5,0.13944201741163767,5.131691538753513E-4,1.337265097358651E-4,1.0731639547990797E-5,0.047123875915933686,8.90415295751507E-6,7.651140627894088E-5,0.001016752849663243,0.21572730078661942,6.939046751486227E-6,0.0039550604774942445
477,83471_1892-08-25.txt,1.9025997008325726E-4,7.777521604875503E-6,0.003054479427526291,6.637960499548537E-6,0.06190591929505506,1.2619239597280773E-5,0.19845326961104948,0.2753197056427288,8.518299116895493E-6,0.12059186302014459,7.056117760858746E-4,1.6270857972227747E-5,7.891440642827081E-6,0.09127642879734148,6.5476103837310545E-6,5.6262159984914074E-5,9.086056383097177E-6,0.24701663798811058,0.001153999317158859,2.002140085303542E-4
478,83471_1892-09-01.txt,3.069642553832849E-5,7.803241990775761E-4,0.008793537902309417,7.797440375323366E-6,0.06442900839519711,1.4823494106120204E-5,0.17961674123979304,0.3212901641716807,6.847958530247644E-4,0.11967727781698397,0.00535959424501398,0.0061886181218438535,9.269871053320168E-6,0.06278034131944858,7.691308432983804E-6,1.624882212103783E-4,1.067315524080703E-5,0.2279870063704449,5.993871517170032E-6,0.0021631565777077144
479,83471_1892-09-08.txt,2.9700086124219773E-5,8.839516827492291E-6,7.667393277525395E-4,7.544352367881037E-6,0.06065892911958045,0.003558588346549377,0.20158112142031578,0.29575210181701855,9.681445094052651E-6,0.14433332006457156,0.0024808141281349506,0.01074450019469069,8.968991138732193E-6,0.03304154705845446,7.441665238264598E-6,0.005753392086272471,1.9686599044423876E-4,0.23849481170372605,5.799323444196408E-6,0.0025592933622540868
480,83471_1892-09-15.txt,3.600710363521003E-5,1.237927278995975E-4,7.034095384385312E-4,1.2222252636123117E-4,0.07014798745180409,0.0038619747357906873,0.19361709923529913,0.31852816234859593,1.1737366530929793E-5,0.09718715076152686,0.0033468603033922025,2.2419619359685036E-5,0.0014808626436734922,0.07058868807604936,9.021954021682909E-6,0.007540544851490081,1.2519679413179992E-5,0.23022818779457807,7.030849654641158E-6,0.0024243204324854405
